"dl_state","dl_cycle","raw_n","final_n","retained"
"AK","0800",1788,1746,97.6510067114094
"AR","0800",8898,8896,99.9775230388851
"AZ","0800",21370,21332,99.8221806270473
"CA","0800",54803,54799,99.9927011295002
"CT","0800",3531,3461,98.0175587652223
"IL","0800",21720,21719,99.9953959484346
"IN","0800",32419,4303,13.2730806008822
"LA","0800",7658,6810,88.926612692609
"MA","0800",502,502,100
"MD","0800",3147,3110,98.8242770892914
"MI","0800",23418,23418,100
"MN","0800",64665,64662,99.9953607051728
"MO","0800",501,501,100
"NE","0800",598,576,96.3210702341137
"NH","0800",2867,2733,95.3261248692013
"NJ","0800",234,107,45.7264957264957
"NM","0800",3923,3919,99.898037216416
"NV","0800",489,489,100
"NY","0800",2771,2769,99.9278238902923
"OH","0800",12120,12120,100
"OR","0800",7035,7020,99.7867803837953
"PA","0800",10,NA,NA
"UT","0800",1340,1339,99.9253731343284
"VT","0800",3253,3251,99.9385182908085
"WV","0800",598,598,100
"WY","0800",134,134,100
